word1,word2,similarity_type,relation
patch,truss,direct,hyponym
tying,bridge,direct,hyponym
tract,midway,direct,hyponym
circularize,canvas,direct,hypernym
tipple,drink,direct,hypernym
gbit,gb,direct,synonym
deliberates,wrestle,direct,hyponym
afghanistani,afghan,direct,synonym
magnetize,bewitch,direct,synonym
copying,follow,direct,hyponym
job,hire,direct,hypernym
postpaid,postpaid,direct,synonym
throwed,perplex,direct,hyponym
bravest,gay,direct,synonym
unfold,grass,direct,hyponym
removing,degrease,direct,hyponym
processing,calculate,direct,hypernym
regarded,like,direct,hyponym
presented,state,direct,hypernym
rejected,refuse,direct,synonym
chain,arrange,direct,hypernym
blossom,bud,direct,hyponym
speciality,idiosyncrasy,direct,hyponym
insuring,protect,direct,hypernym
berth,rulership,direct,hyponym
clop,clumping,direct,synonym
hung,decompose,direct,hypernym
reckoning,reckoning,direct,synonym
certifying,evidence,direct,synonym
iterating,retell,direct,synonym
lot,dispense,direct,synonym
absorbs,rivet,direct,hyponym
devolves,recuperate,direct,antonym
trammel,inhibit,direct,hyponym
ping,hit,direct,hypernym
wed,splice,direct,synonym
beaten,frazzle,direct,hyponym
scaling,grading,direct,synonym
hiting,hit,direct,synonym
intervention,intercession,direct,synonym
piece,pastorale,direct,hyponym
inquisition,court,direct,hypernym
cleared,denude,direct,hyponym
mollify,calm,direct,hypernym
splitting,laminate,direct,hyponym
smothering,repress,direct,synonym
nuclease,endonuclease,direct,hyponym
walling,wall,direct,synonym
thankless,unthankful,direct,synonym
populated,be,direct,hypernym
dedicate,assign,direct,hypernym
semiannual,semiannual,direct,synonym
swaddle,bind,direct,hypernym
provincialism,partiality,direct,hypernym
realism,realness,direct,synonym
racier,gamey,direct,synonym
primarily,chiefly,direct,synonym
litas,litas,direct,synonym
outline,coastline,direct,hyponym
unemotionally,emotionally,direct,antonym
pleading,imperative,direct,antonym
paneling,panel,direct,synonym
solarized,overexpose,direct,hypernym
straw,stubble,direct,synonym
strike,success,direct,hypernym
renewal,filling,direct,hypernym
zag,zig,direct,synonym
clacking,cluck,direct,synonym
storage,stowage,direct,hyponym
having,honor,direct,hyponym
deutschmark,mark,direct,synonym
motif,motif,direct,synonym
dealer,pusher,direct,hyponym
making,component,direct,hypernym
providence,foresight,direct,hyponym
oodles,stack,direct,synonym
underground,underground,direct,synonym
wanders,digress,direct,synonym
maid,handmaid,direct,hyponym
buck,framework,direct,hypernym
teaspoon,teaspoonful,direct,synonym
eminence,distinction,direct,synonym
averred,declare,direct,hypernym
dress,coiffure,direct,synonym
wet,soused,direct,synonym
inducting,receive,direct,hypernym
garb,dress,direct,synonym
quisling,collaborator,direct,synonym
climbing,wane,direct,antonym
aroused,invite,direct,hyponym
backing,gage,direct,synonym
rotated,turn,direct,hypernym
peevish,peevish,direct,synonym
plied,supply,direct,synonym
smear,defame,direct,synonym
staidly,soberly,direct,synonym
washed,suds,direct,hyponym
reveal,blow,direct,hyponym
race,wash,direct,synonym
processed,malt,direct,hyponym
irritated,antagonize,direct,hyponym
lender,usurer,direct,hyponym
interrelation,relation,direct,hypernym
engages,hire,direct,synonym
harbor,hide,direct,hypernym
burgher,burgess,direct,synonym
haved,throw,direct,synonym
finger,touch,direct,hypernym
thumb,flick,direct,synonym
prediction,prediction,direct,synonym
parthian,asian,direct,hypernym
counterpointed,compose,direct,hypernym
quality,character,direct,synonym
retraced,return,direct,hypernym
someway,somehow,direct,synonym
northest,north,direct,synonym
throw,propel,direct,hypernym
wisest,foolish,direct,antonym
footer,strider,direct,hyponym
fitch,fitch,direct,synonym
amending,enhance,direct,hyponym
zealotry,fanatism,direct,synonym
formalizes,sign,direct,hyponym
schooling,schooling,direct,synonym
cationic,cationic,direct,synonym
wording,articulate,direct,synonym
fought,joust,direct,hyponym
reproducing,brood,direct,hyponym
stroking,strike,direct,hypernym
burrowes,tunnel,direct,synonym
racked,pace,direct,hypernym
structured,organize,direct,hypernym
drew,puff,direct,synonym
person,hope,direct,hyponym
recapitulating,retrograde,direct,hyponym
material,terry,direct,hyponym
unlawful,lawful,direct,antonym
wit,cartoon,direct,hyponym
resented,dislike,direct,hypernym
accusative,accusing,direct,synonym
squelch,telescope,direct,hyponym
conspicuous,inconspicuous,direct,antonym
derivative,compound,direct,hypernym
approach,similarity,direct,hypernym
vagabonding,ramble,direct,synonym
grazing,grass,direct,hyponym
clomp,walk,direct,hypernym
untied,laced,direct,antonym
reckon,depend,direct,synonym
land,scablands,direct,hyponym
exaggerated,overdone,direct,synonym
relaxing,restless,direct,antonym
retch,excrete,direct,hypernym
filth,dirt,direct,synonym
making,wattle,direct,hyponym
insouciant,nonchalant,direct,synonym
sulkiness,moroseness,direct,synonym
sled,pung,direct,hyponym
shriek,yowl,direct,hyponym
doctoral,doctoral,direct,synonym
associate,relate,direct,synonym
emancipation,emancipation,direct,synonym
nist,agency,direct,hypernym
worsens,regress,direct,hyponym
softer,flabby,direct,synonym
advance,set,direct,hypernym
broadly,narrowly,direct,antonym
snipe,round,direct,synonym
siphoned,draw,direct,hypernym
tame,subdue,direct,synonym
milieu,surroundings,direct,synonym
assortment,taxonomy,direct,hyponym
contenting,limit,direct,hypernym
sixty,sixty,direct,synonym
ti,shrub,direct,hypernym
divide,balkanize,direct,hyponym
patronising,support,direct,synonym
cover,butter,direct,hyponym
pabulum,edible,direct,synonym
taken,interpret,direct,hypernym
rumination,thoughtfulness,direct,synonym
annihilated,extinguish,direct,synonym
ken,sight,direct,synonym
pedigree,line,direct,synonym
overrunning,geyser,direct,hyponym
broiled,broil,direct,synonym
fishwife,fishwife,direct,synonym
projected,relieved,direct,synonym
restricts,baffle,direct,hyponym
positioned,superimpose,direct,hyponym
expression,boilerplate,direct,hyponym
sherry,sherry,direct,synonym
gratefully,appreciatively,direct,synonym
arthroplasty,operation,direct,hypernym
printing,impress,direct,synonym
hastening,hie,direct,synonym
fabric,sharkskin,direct,hyponym
interpreting,take,direct,hyponym
sternness,severity,direct,hyponym
vowing,vow,direct,synonym
instruction,toggle,direct,hyponym
rhythm,downbeat,direct,hyponym
meek,spiritless,direct,synonym
simpler,uncomplicated,direct,synonym
flunked,bomb,direct,synonym
nomenclature,word,direct,hypernym
told,unwrap,direct,hyponym
fairy,sprite,direct,synonym
halide,salt,direct,hypernym
unbelievable,unlikely,direct,synonym
pioneer,innovator,direct,synonym
consoled,solace,direct,synonym
mortal,buster,direct,hyponym
acting,joke,direct,hyponym
hesitation,disinclination,direct,synonym
running,tide,direct,hyponym
accompany,escort,direct,hyponym
position,butt,direct,hyponym
roux,roux,direct,synonym
matriarchy,matriarchy,direct,synonym
hilles,hill,direct,synonym
blacked,black,direct,synonym
star,superstar,direct,synonym
operative,medical,direct,antonym
worshipped,reverence,direct,hypernym
extract,educe,direct,synonym
quality,unlawfulness,direct,hyponym
ritual,marriage,direct,hyponym
exploiting,work,direct,synonym
fondled,tickle,direct,hyponym
poorhouse,establishment,direct,hypernym
mucin,glycoprotein,direct,hypernym
unfrozen,frozen,direct,antonym
undid,unstrap,direct,hyponym
barmy,cracked,direct,synonym
jubilantly,merrily,direct,synonym
councillor,councilman,direct,hyponym
slickness,slipperiness,direct,synonym
edinburgh,edinburgh,direct,synonym
bracelet,band,direct,hypernym
lightness,aura,direct,hyponym
deadwood,redundancy,direct,hypernym
mulberry,berry,direct,hypernym
bellman,bellboy,direct,synonym
shed,move,direct,hypernym
extending,sweep,direct,hyponym
administered,oversee,direct,hyponym
break,smash,direct,synonym
fenced,quibble,direct,hyponym
agitating,rouse,direct,synonym
bulldozer,dozer,direct,synonym
argentina,argentina,direct,synonym
doting,adoring,direct,synonym
treason,treachery,direct,synonym
conceptualized,gestate,direct,synonym
profaning,vitiate,direct,synonym
stealthiest,sneaky,direct,synonym
tatty,loud,direct,synonym
reenacted,enact,direct,synonym
sedan,litter,direct,hypernym
panning,wash,direct,hypernym
jibing,gibe,direct,synonym
work,creamery,direct,hyponym
formes,individuate,direct,hyponym
slice,hit,direct,hypernym
quarreled,brawl,direct,hyponym
pulsating,quiver,direct,synonym
reassign,transfer,direct,synonym
return,regress,direct,synonym
placated,appease,direct,synonym
expends,invest,direct,hyponym
yellower,jaundiced,direct,synonym
marks,label,direct,synonym
deducing,derive,direct,synonym
concordes,match,direct,hypernym
geting,elude,direct,hyponym
cranking,rotate,direct,hypernym
edited,censor,direct,hypernym
cur,mutt,direct,synonym
insistency,press,direct,synonym
malady,malady,direct,synonym
ranger,serviceman,direct,hypernym
drunkard,sot,direct,synonym
being,form,direct,hyponym
assembly,meeting,direct,hyponym
desire,wish,direct,hypernym
following,vet,direct,hyponym
compound,salt,direct,hyponym
fireplace,recess,direct,hypernym
kill,end,direct,hypernym
rendering,make,direct,hypernym
blackmailing,influence,direct,hypernym
defusing,remove,direct,hypernym
processing,fluoridate,direct,hyponym
changing,translate,direct,hyponym
dysprosium,dy,direct,synonym
fighter,person,direct,hypernym
begrimed,soil,direct,synonym
intruding,trespass,direct,synonym
rung,border,direct,synonym
variety,vaudeville,direct,hyponym
sleet,sleet,direct,synonym
flick,picture,direct,synonym
resigns,abdicate,direct,hyponym
bend,stoop,direct,synonym
shrinked,flex,direct,hyponym
ideology,democracy,direct,hyponym
confabulating,consult,direct,synonym
altered,purify,direct,hyponym
valuing,rate,direct,synonym
hardness,firmness,direct,hyponym
playes,perform,direct,hypernym
politic,politic,direct,synonym
hitch,snag,direct,synonym
step,footstep,direct,synonym
achieving,attain,direct,synonym
milieu,environment,direct,hypernym
proof,probate,direct,hyponym
shuffled,walk,direct,hypernym
spectrometry,spectroscopy,direct,synonym
immortalised,memorialize,direct,synonym
coalesces,admix,direct,hyponym
roller,crimper,direct,synonym
saddleback,pas,direct,hypernym
arrogated,requisition,direct,hyponym
mollify,appease,direct,synonym
disbelief,content,direct,hypernym
thermodynamics,physic,direct,hypernym
terse,crisp,direct,synonym
dissent,oppose,direct,hypernym
governs,deregulate,direct,antonym
alters,diversify,direct,hyponym
changing,charge,direct,hyponym
notice,mark,direct,synonym
suffered,suffer,direct,synonym
nuttiest,haywire,direct,synonym
permeation,pervasion,direct,synonym
poser,toughie,direct,synonym
shot,stab,direct,synonym
changed,even,direct,hyponym
manipulates,tamper,direct,hyponym
catched,enamour,direct,synonym
fag,toil,direct,synonym
simplicity,naivete,direct,hypernym
bible,book,direct,synonym
outlay,payment,direct,hypernym
volume,forte,direct,hyponym
stain,grease,direct,synonym
tolerance,intolerance,direct,antonym
niftier,groovy,direct,synonym
turbinate,helical,direct,synonym
enamoured,beguile,direct,synonym
sophistication,naivete,direct,antonym
auscultation,percussion,direct,hyponym
copulating,pair,direct,synonym
distributor,retailer,direct,hyponym
school,education,direct,hypernym
capture,trap,direct,hyponym
orator,speechmaker,direct,synonym
proceed,limp,direct,hyponym
sewed,gather,direct,hyponym
inn,lodge,direct,synonym
overplayed,ham,direct,synonym
tera,tera,direct,synonym
surmounted,outpace,direct,hyponym
sandpiper,tattler,direct,hyponym
envisaging,prefigure,direct,hyponym
abstracted,absentminded,direct,synonym
distilling,extract,direct,synonym
sulky,gloomy,direct,synonym
block,screen,direct,hyponym
bloodline,pedigree,direct,synonym
workwear,jean,direct,hyponym
tripper,catch,direct,hypernym
occupies,populate,direct,hypernym
rescinds,reverse,direct,synonym
pustule,pock,direct,hyponym
deuce,digit,direct,hypernym
crudeness,crudity,direct,synonym
repressing,repress,direct,synonym
represents,act,direct,synonym
moving,relocate,direct,hyponym
amazing,get,direct,synonym
bluntness,bluntness,direct,synonym
lopped,lop,direct,synonym
completion,maneuver,direct,hypernym
waner,wan,direct,synonym
jumble,clutter,direct,synonym
straightness,characteristic,direct,hypernym
check,moderate,direct,synonym
ape,imitate,direct,hypernym
inhospitality,welcome,direct,hypernym
brace,pair,direct,synonym
liking,liking,direct,synonym
bringing,deliver,direct,hyponym
exit,drown,direct,hyponym
printmaking,serigraphy,direct,hyponym
conveying,thank,direct,hyponym
hoosegow,jail,direct,hypernym
partes,diffract,direct,hyponym
aggressing,harass,direct,hyponym
topnotch,topnotch,direct,synonym
injury,rupture,direct,hyponym
ablation,ablation,direct,synonym
civilizing,sophisticate,direct,hyponym
rimed,frosty,direct,synonym
reformatory,reformatory,direct,synonym
period,sleep,direct,hyponym
craft,handcraft,direct,hyponym
mouth,communicate,direct,hypernym
cheese,brie,direct,hyponym
coupling,twin,direct,synonym
fearlessness,feeling,direct,hypernym
claystone,claystone,direct,synonym
whammed,hit,direct,hypernym
muffled,suppress,direct,hypernym
extramarital,extramarital,direct,synonym
glorification,idealisation,direct,synonym
galax,coltsfoot,direct,synonym
factor,fundamental,direct,hyponym
fundament,support,direct,hypernym
goof,goofball,direct,synonym
sooner,oklahoman,direct,synonym
impingement,influence,direct,hypernym
swagger,browbeat,direct,synonym
harassing,beset,direct,synonym
newspaperwoman,pressman,direct,synonym
penning,compose,direct,synonym
rightness,wrongness,direct,antonym
garb,underdress,direct,hyponym
succour,ministration,direct,synonym
filiation,descent,direct,synonym
family,conjugation,direct,hyponym
tumour,growth,direct,hypernym
ignore,reject,direct,hypernym
malaysian,asian,direct,hypernym
vivifying,revivify,direct,synonym
bed,cushion,direct,hyponym
swag,slump,direct,hyponym
ragged,ragged,direct,synonym
caustic,vitriolic,direct,synonym
lewdness,indecency,direct,hypernym
discounted,discredit,direct,hyponym
digitalise,change,direct,hypernym
plausibility,implausibility,direct,antonym
lengthiness,protraction,direct,synonym
juggle,rearrangement,direct,hypernym
awarded,certificate,direct,hyponym
knuckler,knuckleball,direct,synonym
moved,reach,direct,hyponym
keeling,stagger,direct,synonym
promised,forecast,direct,hyponym
stumbling,founder,direct,hyponym
amiss,perfectly,direct,antonym
separate,branch,direct,synonym
translate,gloss,direct,hyponym
attempt,seek,direct,synonym
supporting,underpin,direct,synonym
employed,give,direct,hyponym
hollo,howl,direct,hyponym
issue,provision,direct,hypernym
purpose,aim,direct,synonym
revealed,disclose,direct,synonym
named,identify,direct,synonym
extenuating,apologize,direct,hypernym
educating,civilise,direct,synonym
outlasted,outlast,direct,synonym
bannock,bannock,direct,synonym
campaigning,run,direct,synonym
bumpier,jolting,direct,synonym
repartee,banter,direct,hyponym
offered,threaten,direct,hypernym
lifting,pinch,direct,synonym
nympho,nympho,direct,synonym
organising,mount,direct,hyponym
wipeout,ravage,direct,hyponym
lump,hunk,direct,synonym
bowling,chinaman,direct,hyponym
uncoiled,uncoil,direct,synonym
informed,announce,direct,hyponym
situation,rabbinate,direct,hyponym
dotted,write,direct,hypernym
booting,reboot,direct,synonym
grate,grind,direct,synonym
raised,hurt,direct,hyponym
changed,full,direct,hyponym
psychopharmacology,pharmacology,direct,hypernym
slackness,looseness,direct,hypernym
macerating,separate,direct,hypernym
stooped,crouch,direct,synonym
fairway,site,direct,hypernym
placed,bucket,direct,hyponym
schedule,list,direct,hypernym
gastrectomy,operation,direct,hypernym
promenading,parade,direct,synonym
geneva,gin,direct,hypernym
learns,absorb,direct,hyponym
expanded,contracted,direct,antonym
incursion,breakthrough,direct,hyponym
produced,develop,direct,synonym
shrills,yowl,direct,hyponym
encodes,code,direct,hyponym
nationalization,nationalization,direct,synonym
reference,denotation,direct,synonym
rescued,reprieve,direct,hyponym
gingery,ginger,direct,synonym
lacking,exclude,direct,hyponym
everyman,everyman,direct,synonym
railing,vilify,direct,synonym
wound,maim,direct,hyponym
vegetable,fennel,direct,hyponym
shelling,vanquish,direct,synonym
client,spender,direct,hyponym
pieced,make,direct,hypernym
articulated,unarticulated,direct,antonym
participle,participle,direct,synonym
gone,trundle,direct,hyponym
taxied,cab,direct,synonym
link,interrelate,direct,hyponym
bunco,bunco,direct,synonym
set,placement,direct,hypernym
person,redhead,direct,hyponym
freethinking,freethinking,direct,synonym
bite,injury,direct,hypernym
disquieting,trouble,direct,synonym
imperiling,jeopardize,direct,synonym
pledgee,adult,direct,hypernym
placed,tee,direct,hyponym
predetermining,prejudice,direct,hypernym
padded,plod,direct,synonym
deliberation,think,direct,hyponym
record,prerecord,direct,hyponym
vexation,pinprick,direct,hyponym
outperforming,outwear,direct,hyponym
podium,dais,direct,synonym
payment,remittance,direct,hyponym
cinque,5,direct,synonym
wedes,wed,direct,synonym
discard,retire,direct,hyponym
tranquilize,hypnotize,direct,hyponym
coalesce,admix,direct,hyponym
prognosticating,betoken,direct,synonym
affect,pretend,direct,synonym
lock,crimp,direct,hyponym
landscaper,landscaper,direct,synonym
coquet,mash,direct,synonym
gin,trap,direct,hypernym
kneel,kneeling,direct,synonym
pull,remove,direct,hypernym
conveyance,trailer,direct,hyponym
withdrawing,bone,direct,hyponym
cooked,fake,direct,synonym
distilling,distil,direct,synonym
chided,chastise,direct,hyponym
stabilizer,fin,direct,hyponym
journeyed,cruise,direct,hyponym
proportion,content,direct,hyponym
transporting,please,direct,hypernym
attainment,marksmanship,direct,hyponym
physique,physique,direct,synonym
androgyny,sex,direct,hypernym
bristly,bristled,direct,synonym
careen,keel,direct,synonym
prefigure,foretell,direct,synonym
figure,differentiate,direct,hyponym
marks,evaluation,direct,hypernym
hold,chokehold,direct,hyponym
obstinately,mulishly,direct,synonym
corer,device,direct,hypernym
uprise,originate,direct,synonym
comma,comma,direct,synonym
fawning,flatter,direct,hypernym
working,answer,direct,hyponym
grace,gild,direct,hyponym
substitute,substitute,direct,synonym
fastest,quickest,direct,synonym
deliverer,redeemer,direct,synonym
rawness,integrity,direct,hypernym
brightened,lighten,direct,synonym
refreshing,vent,direct,hyponym
substantive,word,direct,hypernym
swaggered,sashay,direct,synonym
paganism,religion,direct,hypernym
fruitiest,barmy,direct,synonym
squib,squib,direct,synonym
tamarin,pinche,direct,hyponym
lowly,subaltern,direct,synonym
tearoom,teahouse,direct,synonym
gloomy,drab,direct,synonym
riata,lariat,direct,synonym
structure,arcade,direct,hyponym
responding,bridle,direct,hyponym
arena,lap,direct,hyponym
combust,char,direct,hyponym
outperformed,shame,direct,hyponym
performed,star,direct,hyponym
parabolic,parabolic,direct,synonym
detailed,elaborate,direct,synonym
libber,libber,direct,synonym
blameless,irreproachable,direct,synonym
trifle,bagatelle,direct,hyponym
depressurizing,decompress,direct,synonym
barratry,bribery,direct,hypernym
adopts,espouse,direct,synonym
such,such,direct,synonym
bowes,genuflect,direct,hyponym
being,exemplify,direct,hyponym
dream,ambition,direct,synonym
rejoicing,jubilate,direct,synonym
takeing,make,direct,synonym
heyday,prime,direct,synonym
are,tend,direct,hyponym
cookware,pot,direct,hyponym
relates,apply,direct,hyponym
fomented,rumpus,direct,hyponym
beg,panhandle,direct,hyponym
claver,visit,direct,synonym
urgency,urgency,direct,synonym
spoilt,featherbed,direct,synonym
baseline,standard,direct,hypernym
forbidden,stop,direct,hyponym
clotheshorse,clotheshorse,direct,synonym
spangled,beady,direct,synonym
beating,licking,direct,synonym
topcoat,topcoat,direct,synonym
quilted,join,direct,hypernym
rode,chariot,direct,hyponym
louis,louis,direct,synonym
unswayed,unswayed,direct,synonym
gook,gunk,direct,synonym
articulate,trill,direct,hyponym
penetrated,insert,direct,hypernym
measure,measurement,direct,synonym
musician,composer,direct,hyponym
antedates,precede,direct,synonym
determining,cause,direct,hypernym
stagnating,bum,direct,hyponym
conscious,conscious,direct,synonym
negate,belie,direct,synonym
chided,chide,direct,synonym
puffed,whiff,direct,synonym
bloomed,flower,direct,synonym
slenderize,gain,direct,antonym
crisscrossing,crisscross,direct,synonym
traversed,pas,direct,hypernym
unresisting,supine,direct,synonym
administrated,oversee,direct,hyponym
mystify,mystify,direct,synonym
compounded,increase,direct,hypernym
sweet,course,direct,hypernym
hedging,circumvent,direct,synonym
punishment,discipline,direct,hyponym
pattern,careerism,direct,hyponym
nonplussed,bewilder,direct,synonym
taked,engage,direct,synonym
cuting,contract,direct,synonym
upright,jamb,direct,hyponym
infarct,infarct,direct,synonym
started,blaze,direct,hyponym
berkeley,berkeley,direct,synonym
obeys,heed,direct,hyponym
temporary,temporary,direct,synonym
extol,canonize,direct,hyponym
lacing,whacking,direct,synonym
portraiture,portrait,direct,synonym
mumbling,mumbling,direct,synonym
